dépassement;Overshoot;;
excès de vitesse;Speeding;;
lancer (fusée / campagne);To launch;;
feu de forêt;Wildfire;;
mariage (la cérémonie);Wedding;;
mariage (union / état-civil);Marriage;;
dirigeants;Leaders;;
s'engager à;To commit to + V-ing;;
émeute;Riot;;
demandeur d'asile;Asylum seeker;;
protester contre qqch;To protest (against) sth;;
montrer, exposer;To display;;
dégâts;Damage;;
dommages et intérêts;Damages;;
aigü;Acute;;
agitation;Unrest;;
déclencher;To spark;;
les mariés;The bride and groom;;
trajet quotidien domicile-travail;A commute;;
faire le trajet;To commute (from ... to ...);;
dans le viseur de;In the crosshairs of;;
suite à (en conséquence de);In the wake of;;
révéler;To disclose;;
révélation;Disclosure;;
écart / divergence;Discrepancy;;
incohérence;Inconsistency;;
aller à l'encontre de, être en décalage avec;To be at odds with;;
nuisible;Harmful;;
inoffensif;Harmless;;
miner, saper;To undermine;;
lever les sourcils;To raise one's eyebrows;;
provoquer l'étonnement;To raise eyebrows;;
hausser les épaules;To shrug;;
ignorer qqch, ne pas tenir compte de;To shrug sth off;;
froncer les sourcils;To frown;;
être mal vu;To be frowned upon;;
réel;Actual;;
en fait;Actually;;
militer pour;To advocate sth / for sth;;
bibliothèque;Library;;
librairie;Bookshop, bookstore;;
emprunter;To borrow;;
juger, estimer;To deem;;
retirer, enlever;To remove;;
chagrin, deuil;Grief;;
être contreproductif;To defeat the purpose / to backfire;;
programme scolaire;Curriculum;;
embouteillages;Congestion;;
faire payer;To charge;;
somme à payer;A fee, a charge;;
une amende;A fine;;
réduire;To curb;;
bilan humain;Death toll;;
englober;To encompass;;
réduire de moitié;To halve;;
dissuader qqn de;To deter sb from V-ing;;
un dissuasif;A deterrent;;
la dissuasion;Deterrence;;
attribuer qqch (des propos, une idée...) à qqn;To ascribe sth to sb;;
purement et simplement;Downright;;
indiquer, être le signe de;To signal;;
avoir le droit de;To be entitled to<br> *(par extension = to be entitled = penser avoir tous les droits)*;;
foule en colère, horde;Mob;;
étouffer;To stifle;;
déclencher une controverse;To spark controversy;;
restreindre la liberté d'expression;To restrict freedom of expression;;
craindre de perdre son gagne-pain;To fear for one's livelihood;;
éviter, reculer devant;To shy away from;;
rester à l'écart de, éviter;To steer clear of;;
évitement du risque;Risk aversion;;
mettre en place;To implement;;
se plier à (loi, règle);To comply with;;
conciliant, obéissant / conforme;Compliant;;
non-conforme;Non-compliant;;
faire de même;To follow suit;;
district, arrondissement (5 in NY, 32 in Greater London);Borough;;
en vouloir à, avoir de la racune;To resent;;
ressentiment;Resentment;;
modeste;Low-income;;
avoir du mal à;To struggle (with + GN / to + BV);;
discréditer;To debunk;;
au bord de;On the brink of (war, collapse...);;
exercer;To wield (power, authority);;
compatir avec;To sympathise with;;
être le plus affecté par, payer le prix de;To bear the brunt of;;
creuser l'écart;To widen the gap;;
les riches et les pauvres;The haves and the have-nots;;
une proie facile;An easy prey;;
les questions de pouvoir d'achat;Pocketbook issues;;
degrader, profaner;To deface;;
barbouiller (de);To smear (with);;
renverser;To topple;;
une poignée de;A handful of;;
se démener pour, s'efforcer de;To strive to;;
caler, échouer / gagner du temps;To stall;;
congédier (qqn), écarter (une idée...);To dismiss;;
le fait de trop dépendre de qqch (tech, AI...);Overreliance;;
résider;To dwell (in a place);;
les citadins;Urban dwellers, city dwellers;;
les cols blancs (= employés de bureau);White-collar workers;;
les cols bleus (=ouvriers);Blue-collar workers;;
automatisation;Automation;;
bouleverser, perturber;To disrupt;;
bouleversement;Disruption;;
troublant;Uncanny;;
être reticent à faire qqch;To be reluctant to + BV;;
reticence;Reluctance;;
à contrecoeur, avec réticence;Reluctantly;;
perspicace, pertinent;Insightful;;
créer un precedent dangereux;To set a dangerous precedent;;
une pente glissante, un terrain miné;A slippery slope;;
hors sujet;Irrelevant;;
procès;Trial;;
modifier, refaçonner;To reshape;;
les personnes en deuil;The bereaved;;
le deuil;Mourning;;
estomper;To blur;;
limite;Boundary;;
encouragement par la récompense;An incentive;
inciter;To incentivize;
féroce, acharné;Fierce;
relatif à l’entreprise;Corporate;
subventions;Subsidies;
approuver / désapprouver (qqch);To approve / disapprove OF sth;
sain, de qualité;Sound (advice / investment…);
actionnaire;Shareholder;
actions, parts;Shares;
offre, enchère, tentative;A bid;
le plus offrant;The highest bidder;
vente aux enchères;Auction;
produire, rapporter;To yield;
crèche;Daycare;
débrancher;To pull the plug;
mettre fin à;to pull the plug on (a project, a relationship);
mettre au rebut (fig : renoncer à, laisser tomber – une idée…);to scrap sth;
soulagement / aide humanitaire;relief;
être soulagé;to be relieved;
être déchargé de qqch (mission, tâche);to be relieved of sth;
entrepôt;warehouse;
Not In My Back Yard (pas chez moi);NIMBY;
