Définition : Équation linéaire à \(p\) inconnues;Une équation de la forme \(a_1x_1 + a_2x_2 + \dots + a_px_p = b\) où \(x_1, x_2, \ldots, x_p \in \mathbb{K}\) sont les inconnues (éléments de \(\mathbb{K}^p\)), \(a_j \in \mathbb{K}\) sont les coefficients et \(b \in \mathbb{K}\) le second membre.
Définition : Système linéaire à \(n\) équations et \(p\) inconnues;Un système \((S)\) de \(n\) équations linéaires à \(p\) inconnues de la forme : \(\begin{cases} a_{1,1}x_1 + a_{1,2}x_2 + \dots + a_{1,p}x_p = b_1 \ a_{2,1}x_1 + a_{2,2}x_2 + \dots + a_{2,p}x_p = b_2 \ \vdots \ a_{n,1}x_1 + a_{n,2}x_2 + \dots + a_{n,p}x_p = b_n \end{cases}\) où les \((a_{i,j})_{1 \leq i \leq n, 1 \leq j \leq p}\) sont les coefficients et \((b_1, b_2, \ldots, b_n) \in \mathbb{K}^n\) est le second membre.
Définition : Systèmes équivalents;Deux systèmes \((S)\) et \((S')\) sont équivalents s'ils ont le même ensemble de solution, c'est-à-dire si \((x_1, x_2, \ldots, x_p)\) solution de \((S) \Leftrightarrow (x_1, x_2, \ldots, x_p)\) solution de \((S')\).
Définition : Système homogène;Lorsque tous les \(b_i\) sont nuls, le système est dit homogène.
Définition : Système homogène associé;Si \((S)\) n'est pas homogène, on peut définir le système homogène associé \((H)\), obtenu en remplaçant tous les \(b_i\) par des \(0\).
Définition : Système compatible;On dit que \((S)\) est compatible s'il admet au moins une solution. Dans le cas contraire, on dit qu'il est incompatible.
Définition : Opération élémentaire - Échange de deux lignes;\(L_i \leftrightarrow L_j\) où \(i \
eq j\).
Définition : Opération élémentaire - Dilatation;Multiplication d'une ligne \(L_i\) par une constante : \(L_i \leftarrow \alpha L_i\) où \(\alpha \
eq 0\).
Définition : Opération élémentaire - Transvection;Ajout à une ligne \(L_i\) d'un multiple d'une autre ligne \(L_j\) : \(L_i \leftarrow L_i + \beta L_j\) où \(j \
eq i\) et \(\beta \in \mathbb{K}\).
Définition : Matrice à \(n\) lignes et \(p\) colonnes;Soit \(n \in \mathbb{N}^*\) et \(p \in \mathbb{N}^*\). Un tableau de scalaires de la forme : \(A = \begin{pmatrix} a_{1,1} & a_{1,2} & a_{1,3} & \cdots & a_{1,p} \ a_{2,1} & a_{2,2} & a_{2,3} & & a_{2,p} \ \vdots & \vdots & \vdots & \ddots & \vdots \ a_{m,1} & a_{m,2} & a_{m,3} & \cdots & a_{m,p} \end{pmatrix}\) ou \(A = (a_{i,j})_{1 \leq i \leq n, 1 \leq j \leq p}\) où \(a_{i,j\) est le coefficient \((i,j)\) de \(A\).
Notation : Ensemble des matrices;\(\mathcal{M}_{n,p}(\mathbb{K})\) désigne l'ensemble des matrices à \(n\) lignes et \(p\) colonnes à coefficients dans \(\mathbb{K}\).
Définition : Somme de deux matrices;Soient \(A\) et \(B\) deux matrices de \(\mathcal{M}_{n,p}(\mathbb{K})\). On note \(C = A + B\) la matrice de \(\mathcal{M}_{n,p}(\mathbb{K})\) définie par : \(\forall i \in \{1, \ldots, n\}, \forall j \in \{1, \ldots, p\}, c_{i,j} = a_{i,j} + b_{i,j}\).
Définition : Produit par un scalaire;Soient \(A\) et \(B\) deux matrices de \(\mathcal{M}_{n,p}(\mathbb{K})\), et \(\lambda \in \mathbb{K}\) un scalaire. On note \(D = \lambda \cdot A\) la matrice de \(\mathcal{M}_{n,p}(\mathbb{K})\) définie par : \(\forall i \in \{1, \ldots, n\}, \forall j \in \{1, \ldots, p\}, d_i = \lambda x a_{i,j}\).
Propriété : Loi \(+\) commutative;\(\forall (A,B) \in (\mathcal{M}_{n,p}(\mathbb{K}))^2, A + B = B + A\).
Propriété : Loi \(+\) associative;\(\forall (A,B,C) \in (\mathcal{M}_{n,p}(\mathbb{K}))^3, (A+B)+C = A+(B+C)\).
Propriété : Matrice nulle comme élément neutre;\(\forall A \in \mathcal{M}_{n,p}(\mathbb{K}), A + 0 = 0 + A = A\).
Propriété : Existence d'un opposé;\(\forall A \in \mathcal{M}_{n,p}(\mathbb{K}), \exists ! B \in \mathcal{M}_{n,p}(\mathbb{K}), A + B = B + A = 0\). L'opposé de \(A\) est noté \(-A = (-1) \cdot A\).
Propriétés de la multiplication par un scalaire;\(\forall (A,B) \in (\mathcal{M}_{n,p}(\mathbb{K}))^2, \forall \lambda \in \mathbb{K}\) : 1. \(\lambda(A+B) = \lambda A + \lambda B\) 2. \((\lambda + \mu)A = \lambda A + \mu A\) 3. \(\lambda(\mu A) = (\lambda\mu)A\) 4. \(1 \cdot A = A\).
Définition : Produit matrice-colonne;Soit \(A = \begin{pmatrix} a_{1,1} & \cdots & a_{1,p} \ \vdots & \vdots \ a_{n,1} & \cdots & a_{n,p} \end{pmatrix} \in \mathcal{M}_{n,p}(\mathbb{K})\) et \(X = \begin{pmatrix} x_1 \ \vdots \ x_p \end{pmatrix}\) une matrice colonne de \(\mathcal{M}_{p,1}(\mathbb{K})\). On définit le produit \(C = A times X\) comme la matrice colonne suivante : \(A times X = \begin{pmatrix} a_{1,1} x_1 + a_{1,2} x_2 + \dots + a_{1,p} x_p \ a_{2,1} x_1 + a_{2,2} x_2 + \dots + a_{2,p} x_p \ \vdots \ a_{n,1} x_1 + a_{n,2} x_2 + \dots + a_{n,p} x_p \end{pmatrix} \in \mathcal{M}_{n}(\mathbb{K})\). Autrement dit, on a : \(C = \begin{pmatrix} c_1 \ \vdots \ c_n \end{pmatrix}\) avec \(\forall i \in \{1, \ldots, n\}, c_i = \sum_{j=1}^p a_{i,j} x_j\).
Définition : Produit matriciel;Soient \(A = (a_{i,j})\) une matrice de \(\mathcal{M}_{m,p}(\mathbb{K})\) et \(B = (b_{i,j})\) une matrice de \(\mathcal{M}_{p,q}(\mathbb{K})\). On définit le produit \(C = A \times B\) comme la matrice de \(\mathcal{M}_{m,q}(\mathbb{K})\) suivante : \(\forall i \in \{1, \ldots, m\}, \forall j \in \{1, \ldots, q\}, c_{i,j} = (A times B)_{i,j} = \sum_{k=1}^p a_{i,k} \cdot b_{k,j}\).
Propriété : Associativité du produit matriciel;\(\forall A \in \mathcal{M}_{n,p}(\mathbb{K}), \forall B \in \mathcal{M}_{p,q}(\mathbb{K}), \forall C \in \mathcal{M}_{q,r}(\mathbb{K}), (A times B) times C = A times (B times C)\).
Propriété : Distributivité à gauche;\(\forall (A_1, A_2) \in \mathcal{M}_{n,p}(\mathbb{K})^2, \forall B \in \mathcal{M}_{p,q}(\mathbb{K}), (A_1 + A_2) times B = A_1 times B + A_2 times B\).
Propriété : Distributivité à droite;\(\forall A \in \mathcal{M}_{n,p}(\mathbb{K}), \forall (B_1, B_2) \in \mathcal{M}_{p,q}(\mathbb{K})^2, A times (B_1 + B_2) = A times B_1 + A times B_2\).
