Quelle est la définition d'une suite réelle ?;C'est une application \(u\) de \(\mathbb{N}\) dans \(\mathbb{R}\) : \(u : \mathbb{N} \to \mathbb{R}\), \(n \mapsto u(n)\).
À quelles conditions une suite réelle \(u\) est-elle dite constante ou stationnaire ?;Constante si \(\exists c \in \mathbb{R}, \forall n \in \mathbb{N}, u_n = c\). Stationnaire si elle est constante à partir d'un certain rang (\(\exists n_0 \in \mathbb{N}, \exists c \in \mathbb{R}, \forall n \ge n_0, u_n = c\)).
À quelles conditions une suite réelle \(u\) est-elle majorée, minorée ou bornée ?;Majorée si \(\exists M \in \mathbb{R}, \forall n \in \mathbb{N}, u_n \le M\). Minorée si \(\exists m \in \mathbb{R}, \forall n \in \mathbb{N}, u_n \ge m\). Bornée si \(\exists K \in \mathbb{R}^+, \forall n \in \mathbb{N}, |u_n| \le K\).
À quelles conditions une suite réelle \(u\) est-elle croissante, décroissante ou monotone ?;Croissante si \(\forall n \in \mathbb{N}, u_{n+1} \ge u_n\). Décroissante si \(\forall n \in \mathbb{N}, u_{n+1} \le u_n\). Monotone si elle est croissante ou décroissante.
Qu'est-ce qu'une suite récurrente simple ?;C'est une suite \(u\) définie par la donnée de \(u_0\) et d'une relation \(\forall n \in \mathbb{N}, u_{n+1} = f(u_n)\) où \(f\) est une fonction d'une variable réelle à valeurs réelles.
À quelle condition un intervalle \(I\) de \(\mathbb{R}\) est-il stable par une fonction \(f\) ?;Si \(\forall x \in I, f(x) \in I\) (ce qui s'écrit aussi \(f(I) \subset I\)).
Soit l'équation caractéristique \((E) : z^2 = az + b\) d'une suite \(u\). Quelles sont les expressions de \(u_n\) selon les racines de \((E)\) ?;Si 2 racines réelles distinctes \(r_1, r_2\) : \(u_n = \lambda r_1^n + \mu r_2^n\). Si 1 racine double \(r_1\) : \(u_n = (\lambda n + \mu) r_1^n\). Si 2 racines complexes conjuguées de module \(\rho\) et d'arguments \(\theta, -\theta\) : \(u_n = \rho^n (\lambda \cos(n\theta) + \mu \sin(n\theta))\).
Quelle est la définition formelle de la convergence d'une suite réelle \((u_n)\) vers un réel \(\ell\) ?;\(\forall \varepsilon > 0, \exists N \in \mathbb{N}, \forall n \in \mathbb{N}, n \ge N \implies \ell - \varepsilon \le u_n \le \ell + \varepsilon\).
(Unicité de la limite) Que dire de la limite d'une suite convergente ?;Si une suite est convergente, alors elle admet une unique limite.
Quel est le lien entre la convergence d'une suite et le fait qu'elle soit bornée ?;Toute suite convergente est bornée.
À quoi est équivalente la convergence de \((u_n)\) vers \(\ell\) ? Et vers \(0\) ?;\((u_n)\) converge vers \(\ell \iff (u_n - \ell)\) converge vers \(0\). \((u_n)\) converge vers \(0 \iff (|u_n|)\) converge vers \(0\).
Soient \(u, M \in \mathbb{R}^{\mathbb{N}}\) et \(\ell \in \mathbb{R}\). Si \(\forall n \in \mathbb{N}, |u_n - \ell| \le M_n\) et \(M_n \xrightarrow[n \to +\infty]{} 0\), que peut-on conclure ?;La suite \((u_n)\) converge vers \(\ell\) (\(u_n \xrightarrow[n \to +\infty]{} \ell\)).
Si \(u_n \xrightarrow[n \to +\infty]{} \ell \in \mathbb{R}\), que peut-on dire de la suite \((|u_n|)\) ?;\((|u_n|)\) converge vers \(|\ell|\).
Quelle est la définition formelle d'une suite réelle divergeant vers \(+\infty\) ? Et vers \(-\infty\) ?;Vers \(+\infty\) : \(\forall A \in \mathbb{R}, \exists N \in \mathbb{N}, \forall n \ge N, u_n \ge A\). Vers \(-\infty\) : \(\forall B \in \mathbb{R}, \exists N \in \mathbb{N}, \forall n \ge N, u_n \le B\).
Si \(u_n \xrightarrow[n \to +\infty]{} +\infty\) ou \(-\infty\), la suite est-elle majorée, minorée ou bornée ?;Si limite \(+\infty\) : non majorée mais minorée. Si limite \(-\infty\) : non minorée mais majorée. Elle est non bornée dans les deux cas.
Si \(u_n \xrightarrow[n \to +\infty]{} \ell\) et \(v_n \xrightarrow[n \to +\infty]{} \ell'\), quelles sont les limites de \(\lambda u_n\) et \(u_n + v_n\) ?;\(\lambda u_n \xrightarrow[n \to +\infty]{} \lambda \ell\). Si \(\ell + \ell'\) n'est pas une forme indéterminée, \(u_n + v_n \xrightarrow[n \to +\infty]{} \ell + \ell'\).
Quelle est la limite du produit d'une suite tendant vers \(0\) et d'une suite bornée ?;Si \(u_n \xrightarrow[n \to +\infty]{} 0\) et \((v_n)\) est bornée, alors \(u_n v_n \xrightarrow[n \to +\infty]{} 0\).
Si \(u_n \xrightarrow[n \to +\infty]{} \ell\) et \(v_n \xrightarrow[n \to +\infty]{} \ell'\), quelle est la limite de \(u_n v_n\) ?;Si \(\ell \ell'\) n'est pas une forme indéterminée, \(u_n v_n \xrightarrow[n \to +\infty]{} \ell \ell'\).
Soit \(u_n \xrightarrow[n \to +\infty]{} \ell\). Quelles sont les limites de \(\frac{1}{u_n}\) selon la valeur de \(\ell\) ?;Si \(\ell \ne 0\), \(\frac{1}{u_n} \xrightarrow[n \to +\infty]{} \frac{1}{\ell}\). Si \(\ell = 0\) avec \(u_n > 0\), la limite est \(+\infty\). Si \(\ell = 0\) avec \(u_n < 0\), la limite est \(-\infty\).
(Composition) Si \(u_n \xrightarrow[n \to +\infty]{} \ell\) (avec \(u_n \in I\)) et si \(f : I \to \mathbb{R}\) vérifie \(f(x) \xrightarrow[x \to \ell]{} a\), quelle est la limite de \(f(u_n)\) ?;\(f(u_n) \xrightarrow[n \to +\infty]{} a\). Si \(f\) est continue en \(\ell\), alors \(f(u_n) \xrightarrow[n \to +\infty]{} f(\ell)\).
(Croissances comparées) Quelles sont les limites en \(+\infty\) de \(\frac{(\ln(n))^\beta}{n^\alpha}\) et \(\frac{e^{\alpha n}}{n^\beta}\) pour \(\alpha > 0\) ?;\(\lim_{n \to +\infty} \frac{(\ln(n))^\beta}{n^\alpha} = 0\) et \(\lim_{n \to +\infty} \frac{e^{\alpha n}}{n^\beta} = +\infty\).
Soit \(u\) une suite convergeant vers \(0\). Quelles sont les limites de \(\frac{\sin(u_n)}{u_n}\), \(\frac{e^{u_n}-1}{u_n}\), \(\frac{\ln(1+u_n)}{u_n}\), \(\frac{\tan(u_n)}{u_n}\) et \(\frac{\cos(u_n)-1}{u_n}\) ?;Les quatre premières tendent vers \(1\), et \(\frac{\cos(u_n)-1}{u_n}\) tend vers \(0\).
Soient \((u_n)\) et \((v_n)\) des suites convergentes telles que \(u_n \le v_n\). Que peut-on dire de leurs limites ?;\(\lim_{n \to +\infty} u_n \le \lim_{n \to +\infty} v_n\). De même, si \(u_n \ge 0\), alors \(\lim_{n \to +\infty} u_n \ge 0\).
