\(\lim_{x\to +\infty}\frac{\ln x}{x}=\);\(\lim_{x\to +\infty}\frac{\ln x}{x}=0\);
\(\lim_{x\to 1}\frac{\ln x}{x-1}=\);\(\lim_{x\to 1}\frac{\ln x}{x-1}=1\);
\(\lim_{h\to 0}\frac{\ln(1+h) }{h}=\);\(\lim_{h\to 0}\frac{\ln(1+h) }{h}=1\);
\(\lim_{x\to 0}x\ln x=\);\(\lim_{x\to 0}x\ln x=0\);
\(\lim_{x\to 0}\frac{\exp(x)-1}{x}=\);\(\lim_{x\to 0}\frac{\exp(x)-1}{x}=1\)    (car : \(\frac{\exp(x)-\exp(0)}{x-0}\xrightarrow[x \to \infty]{}\exp'(0)=\exp(0)=1\));
\(\lim_{x\to \infty}\frac{\exp(x)}{x}=\);\(\lim_{x\to \infty}\frac{\exp(x)}{x}=+\infty\);
\(\lim_{x\to -\infty}x\exp(x)=\);\(\lim_{x\to -\infty}x\exp(x)= 0\);
Soit \(\alpha\in \mathbb{R},\,\forall \, x\in \mathbb{R_+^*},\, x^\alpha =\){{c1::\(\exp(\alpha \ln(x))\)}};;
\(\forall \, x \in \mathbb{R} \setminus \left\{ \frac{\pi}{2}+k\pi /k \in \mathbb{Z}\right\}, \tan'(x) =\){{c2::\(1+\tan^2 x=\)}}{{c1::\(\frac{1}{\cos^2 x}\)}};;
\(\cos(x)=0 \iff\){{c1::\(x=\frac{\pi}{2}[\pi]\)}};;
\(\sin(x)=0 \iff\){{c1::\(x=0\,[\pi]\)}};;
\(\tan(x)=0 \iff\){{c1::\(x=0\,[\pi]\)}};;
\(\cos x = \cos y \iff \){{c1::\(x=\pm \,y\,[2\pi] \)}} ;;
\(\tan x = \tan y \iff \){{c1::\(x=y\,[2\pi] \) ou \(x=y+\pi [2\pi]\)}};;
\(\sin x = \sin y \iff\){{c1::\(x=y\,[2\pi]\)ou\(x=\pi-y\,[2\pi]\)}};;
\(\lim_{x \to 0} \frac{\sin(x)}{x}=\);\(\lim_{x \to 0} \frac{\sin(x)}{x}=1\);
\(\tan(a+b) = \);\(\frac{\tan(a)+\tan(b)}{1-\tan(a)\tan(b)}\)=;;
\(\tan(a-b)=\);\(\frac{\tan(a)-\tan(b)}{1+\tan(a)\tan(b)}=\);;
\(t=\tan\left(\frac{x}{2}\right)\)<br>\(\tan x =\);\(\frac{2t}{1-t^2}\);
\(t=\tan\left(\frac{x}{2}\right)\)<br>\(\sin x=\);\(\frac{2t}{1+t^2}\);
\(t=\tan\left(\frac{x}{2}\right)\)<br>\(\cos x =\);\(\frac{1-t^2}{1+t^2}\);
\(\cos(a)\cos(b)=\);\(\frac{1}{2}\left(\cos(a+b)+\cos(a-b)\right)=\);;
\(\sin(a)\sin(b)=\);\(\frac{1}{2}\left(\cos(a-b)-\cos(a+b)\right)=\);;
\(\sin(a)\cos(b)=\);\(\frac{1}{2}\left(\sin(a+b)+\sin(a-b)\right)=\);;
\(\cos(p)+\cos(q)=\);\(2\cos\left(\frac{p+q}{2}\right)\cos\left(\frac{p-q}{2}\right)=\);;
\(\cos(p)-\cos(q)=\);\(-2\sin\left(\frac{p+q}{2}\right)\sin\left(\frac{p-q}{2}\right)=\);;
\(\sin(p)+\sin(q)=\);\(2\sin\left(\frac{p+q}{2}\right)\cos\left(\frac{p-q}{2}\right)=\);;
\(\sin(p)-\sin(q)=\);\(2\cos\left(\frac{p+q}{2}\right)\sin\left(\frac{p-q}{2}\right)=\);;
