Qu'est-ce qu'une fonction dérivable en un point \(a\) ?;Une fonction \(f : I \rightarrow \mathbb{R}\) est dérivable en \(a\) si le taux d'accroissement \(\frac{f(x) - f(a)}{x - a}\) admet une limite finie en \(a\). Cette limite est notée \(f'(a)\) et s'appelle nombre dérivé de \(f\) en \(a\).;
Quelle est la conséquence d'une fonction dérivable en \(a\) ?;Si \(f\) est dérivable en \(a\), alors \(f\) est continue en \(a\).;
Caractériser la dérivabilité en \(a\) par le développement limité;Un fonction \(f\) est dérivable en \(a\) si et seulement si \(\exists \alpha_0, \alpha_1 \in \mathbb{R}\) tels que \(f(x) = \alpha_0 + \alpha_1(x - a) + o(x - a)\). Dans ce cas, \(\alpha_0 = f(a)\) et \(\alpha_1 = f'(a)\).;
Qu'est-ce qu'une dérivée à gauche et à droite ?;Soit \(f : I \rightarrow \mathbb{R}\). On dit que \(f\) est dérivable à gauche en \(a\) si \(\lim_{x \to a^-} \frac{f(x) - f(a)}{x - a}\) existe et est finie, notée \(f_g'(a)\). De même pour la dérivée à droite \(f_d'(a)\).;
Condition de dérivabilité en termes de dérivées latérales;Une fonction \(f\) est dérivable en \(a\) si et seulement si elle est dérivable à gauche et à droite en \(a\), avec \(f_g'(a) = f_d'(a)\). On a alors \(f'(a) = f_g'(a) = f_d'(a)\).;
Qu'est-ce qu'une fonction dérivable sur un intervalle \(I\) ?;Une fonction \(f : I \rightarrow \mathbb{R}\) est dérivable sur \(I\) si elle est dérivable en tout point de \(I\). La fonction \(f' : I \rightarrow \mathbb{R}, x \mapsto f'(x)\), notée aussi \(\frac{df}{dx}\), s'appelle la fonction dérivée de \(f\).;
Si \(f\) est dérivable sur un intervalle \(I\), que peut-on dire sur sa continuité ?;Si \(f\) est dérivable sur \(I\), alors \(f\) est continue sur \(I\).;
Règle de dérivation pour \((f + g)'\);Soient \(f, g\) dérivables en \(a\). Alors \((f + g)'(a) = f'(a) + g'(a)\).;
Règle de dérivation pour \((\lambda f)'\);Soient \(f\) dérivable en \(a\) et \(\lambda \in \mathbb{R}\). Alors \((\lambda f)'(a) = \lambda f'(a)\).;
Règle de dérivation du produit \((fg)'\);Soient \(f, g\) dérivables en \(a\). Alors \((fg)'(a) = f'(a)g(a) + f(a)g'(a)\).;
